               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025365,           0.0049562,           0.0031714,             0.95764,             0.89206,             0.95598,              0.7109,            0.020025,           0.0065769,           0.0029808,             0.00307,             0.00307,             0.00307
                  37,            0.023374,           0.0049366,           0.0028415,             0.91898,              0.9308,             0.95691,             0.73369,            0.021247,           0.0062625,           0.0026323,            0.002872,            0.002872,            0.002872
                  38,            0.023503,           0.0049347,           0.0029828,             0.96876,             0.87795,             0.94985,             0.74067,            0.020837,           0.0062237,           0.0025087,            0.002674,            0.002674,            0.002674
                  39,            0.022448,           0.0048071,           0.0029745,             0.93699,              0.9053,             0.95775,             0.74066,            0.019219,           0.0061536,           0.0027192,            0.002476,            0.002476,            0.002476
                  40,            0.022462,           0.0046087,           0.0027637,             0.94394,             0.91147,             0.95326,             0.73719,            0.018924,           0.0060393,           0.0024446,            0.002278,            0.002278,            0.002278
                  41,            0.022612,           0.0046689,             0.00282,             0.95093,             0.90522,             0.95274,             0.71717,            0.021507,           0.0062013,           0.0023784,             0.00208,             0.00208,             0.00208
                  42,            0.022154,           0.0047109,           0.0025558,             0.94674,             0.90688,             0.95622,             0.74703,            0.018796,           0.0059711,           0.0024132,            0.001882,            0.001882,            0.001882
                  43,            0.021865,           0.0043034,           0.0027523,             0.96911,             0.89645,             0.95573,             0.73795,            0.018734,           0.0059757,           0.0026421,            0.001684,            0.001684,            0.001684
                  44,            0.020801,           0.0045607,           0.0030213,             0.96857,             0.88726,             0.95797,             0.74238,            0.016944,           0.0059582,            0.002404,            0.001486,            0.001486,            0.001486
                  45,            0.019517,           0.0044134,           0.0024901,             0.94883,             0.90478,             0.95709,              0.7456,            0.018089,           0.0059492,           0.0022945,            0.001288,            0.001288,            0.001288
                  46,            0.020114,           0.0044255,           0.0025086,             0.92058,             0.93851,             0.96072,             0.74594,            0.016934,           0.0059121,            0.002073,             0.00109,             0.00109,             0.00109
                  47,            0.020119,           0.0045456,            0.002293,             0.92147,             0.94457,              0.9608,             0.75774,            0.017573,           0.0058581,           0.0020395,            0.000892,            0.000892,            0.000892
                  48,            0.019327,           0.0044848,           0.0023627,             0.91976,             0.94892,             0.96222,             0.75724,            0.017052,            0.005853,           0.0020168,            0.000694,            0.000694,            0.000694
                  49,            0.018527,           0.0042704,           0.0022475,             0.95462,             0.90916,             0.96137,             0.75277,            0.016999,           0.0058446,           0.0019551,            0.000496,            0.000496,            0.000496
